Problems,Percent,Incorrect
28,96.4,1
65,87.7,8
122,91,11
32,87.5,4
29,100,0
83,85.5,12
44,84.1,7
159,89.3,17
74,91.9,6
37,91.9,3
36,88.9,4
76,85.5,11
17,88.2,2
52,92.3,4
74,87.8,9
221,84.2,35
47,97.9,1
136,83.1,23
405,76.5,95
102,85.3,15
46,87,6
47,85.1,7
93,86,13
65,83.1,11
51,90.2,5
69,91.3,6
99,81.8,18
195,72.3,54
35,88.6,4
61,85.3,9
61,80.3,12
124,73.4,33
36,94.4,2
98,78.6,21
117,79.5,24
92,75,23
9,77.8,2
43,83.7,7
44,86.4,6
133,72.9,36
47,85.1,7
118,72,33
51,80.4,10
68,73.5,18
49,91.8,4
63,57.1,27
40,90,4
37,86.5,5
33,87.9,4
25,72,7
29,100,0
35,91.4,3
34,85.3,5
21,90.5,2
15,86.7,2
18,77.8,4
33,81.8,6
33,87.9,4
10,90,1
18,77.8,4
26,73.1,7
