Problems,Percent,Incorrect
120,71.7,34
63,57.1,27
68,73.5,18
51,80.4,10
36,94.4,2
0,N/A,0
0,N/A,0
0,N/A,0
133,72.9,36
43,83.7,7
105,78.1,23
195,72.3,54
92,75,23
44,86.4,6
0,N/A,0
0,N/A,0
0,N/A,0
0,N/A,0
0,N/A,0
0,N/A,0
31,90.3,3
1,100,0
0,N/A,0
0,N/A,0
0,N/A,0
4,75,1
0,N/A,0
0,N/A,0
0,N/A,0
66,84.9,10
28,82.1,5
0,N/A,0
0,N/A,0
0,N/A,0
0,N/A,0
62,93.6,4
36,91.7,3
21,90.5,2
1,100,0
34,85.3,5
18,77.8,4
4,75,1
6,100,0
0,N/A,0
2,100,0
1,0,1
0,N/A,0
0,N/A,0
0,N/A,0
0,N/A,0
26,73.1,7
8,75,2
0,N/A,0
0,N/A,0
53,88.7,6
0,N/A,0
